checkpoint,intervention,num_seeds,seed_list,mean_final_test_acc,mean_max_test_acc,min_final_test_acc,max_final_test_acc
7000,baseline,3,"42,43,44",0.8515625,1.0,0.5546875,1.0
7000,freeze_attn_all,3,"42,43,44",0.5052083333333334,0.53515625,0.14453125,0.96484375
7000,freeze_embed,3,"42,43,44",0.9557291666666666,0.9986979166666666,0.875,0.99609375
7000,freeze_entry_layer,3,"42,43,44",0.9986979166666666,1.0,0.99609375,1.0
7000,freeze_exit_attn,3,"42,43,44",1.0,1.0,1.0,1.0
7000,freeze_exit_layer,3,"42,43,44",0.9921875,0.9934895833333334,0.9765625,1.0
7000,freeze_exit_mlp,3,"42,43,44",1.0,1.0,1.0,1.0
7000,freeze_head,3,"42,43,44",0.7864583333333334,1.0,0.359375,1.0
7000,freeze_middle_layers,3,"42,43,44",0.20572916666666666,0.2109375,0.03125,0.49609375
7000,freeze_mlp_all,3,"42,43,44",0.44140625,0.453125,0.0859375,0.9453125
7000,no_weight_decay,3,"42,43,44",0.046875,0.052083333333333336,0.01171875,0.11328125
8000,baseline,3,"42,43,44",1.0,1.0,1.0,1.0
8000,freeze_attn_all,3,"42,43,44",0.8333333333333334,0.83984375,0.640625,0.984375
8000,freeze_embed,3,"42,43,44",0.9973958333333334,0.9986979166666666,0.9921875,1.0
8000,freeze_entry_layer,3,"42,43,44",0.7955729166666666,1.0,0.390625,1.0
8000,freeze_exit_attn,3,"42,43,44",0.9986979166666666,1.0,0.99609375,1.0
8000,freeze_exit_layer,3,"42,43,44",0.9973958333333334,0.9973958333333334,0.9921875,1.0
8000,freeze_exit_mlp,3,"42,43,44",0.9986979166666666,1.0,0.99609375,1.0
8000,freeze_head,3,"42,43,44",0.8619791666666666,1.0,0.5859375,1.0
8000,freeze_middle_layers,3,"42,43,44",0.2747395833333333,0.2760416666666667,0.03515625,0.65625
8000,freeze_mlp_all,3,"42,43,44",0.4791666666666667,0.4791666666666667,0.08984375,0.98828125
8000,no_weight_decay,3,"42,43,44",0.05078125,0.05859375,0.0234375,0.10546875
9000,baseline,3,"42,43,44",0.9973958333333334,1.0,0.9921875,1.0
9000,freeze_attn_all,3,"42,43,44",0.90625,0.9088541666666666,0.734375,0.99609375
9000,freeze_embed,3,"42,43,44",0.99609375,0.9973958333333334,0.98828125,1.0
9000,freeze_entry_layer,3,"42,43,44",0.9869791666666666,0.9986979166666666,0.96484375,1.0
9000,freeze_exit_attn,3,"42,43,44",1.0,1.0,1.0,1.0
9000,freeze_exit_layer,3,"42,43,44",0.9986979166666666,1.0,0.99609375,1.0
9000,freeze_exit_mlp,3,"42,43,44",1.0,1.0,1.0,1.0
9000,freeze_head,3,"42,43,44",1.0,1.0,1.0,1.0
9000,freeze_middle_layers,3,"42,43,44",0.4440104166666667,0.4440104166666667,0.12109375,0.9765625
9000,freeze_mlp_all,3,"42,43,44",0.63671875,0.63671875,0.38671875,1.0
9000,no_weight_decay,3,"42,43,44",0.1796875,0.18619791666666666,0.015625,0.4921875
10000,baseline,3,"42,43,44",0.9973958333333334,1.0,0.9921875,1.0
10000,freeze_attn_all,3,"42,43,44",0.98046875,0.9830729166666666,0.9609375,0.99609375
10000,freeze_embed,3,"42,43,44",0.9973958333333334,1.0,0.99609375,1.0
10000,freeze_entry_layer,3,"42,43,44",1.0,1.0,1.0,1.0
10000,freeze_exit_attn,3,"42,43,44",0.9947916666666666,1.0,0.984375,1.0
10000,freeze_exit_layer,3,"42,43,44",0.9947916666666666,1.0,0.984375,1.0
10000,freeze_exit_mlp,3,"42,43,44",0.8984375,1.0,0.6953125,1.0
10000,freeze_head,3,"42,43,44",1.0,1.0,1.0,1.0
10000,freeze_middle_layers,3,"42,43,44",0.6276041666666666,0.6328125,0.13671875,0.9765625
10000,freeze_mlp_all,3,"42,43,44",0.7734375,0.7734375,0.359375,1.0
10000,no_weight_decay,3,"42,43,44",0.26171875,0.2734375,0.02734375,0.671875
11000,baseline,3,"42,43,44",0.7213541666666666,1.0,0.16796875,1.0
11000,freeze_attn_all,3,"42,43,44",0.75,0.9908854166666666,0.2578125,0.99609375
11000,freeze_embed,3,"42,43,44",0.99609375,0.9986979166666666,0.9921875,1.0
11000,freeze_entry_layer,3,"42,43,44",1.0,1.0,1.0,1.0
11000,freeze_exit_attn,3,"42,43,44",1.0,1.0,1.0,1.0
11000,freeze_exit_layer,3,"42,43,44",1.0,1.0,1.0,1.0
11000,freeze_exit_mlp,3,"42,43,44",1.0,1.0,1.0,1.0
11000,freeze_head,3,"42,43,44",1.0,1.0,1.0,1.0
11000,freeze_middle_layers,3,"42,43,44",0.9361979166666666,0.9361979166666666,0.85546875,0.9921875
11000,freeze_mlp_all,3,"42,43,44",0.6393229166666666,0.9348958333333334,0.11328125,0.9609375
11000,no_weight_decay,3,"42,43,44",0.3294270833333333,0.3372395833333333,0.0703125,0.75
